File,Status
wormA01.jpg,alive
wormA02.jpg,alive
wormA03.jpg,alive
wormA04.jpg,alive
wormA05.jpg,alive
wormA06.jpg,alive
wormA07.jpg,alive
wormA08.jpg,alive
wormA09.jpg,alive
wormA10.jpg,alive
wormA11.jpg,alive
wormA12.jpg,alive
wormA13.jpg,dead
wormA14.jpg,dead
wormA15.jpg,dead
wormA16.jpg,dead
wormA17.jpg,dead
wormA18.jpg,dead
wormA19.jpg,dead
wormA20.jpg,dead
wormA21.jpg,dead
wormA22.jpg,dead
wormA23.jpg,dead
wormA24.jpg,dead
wormB01.jpg,alive
wormB02.jpg,alive
wormB03.jpg,alive
wormB04.jpg,alive
wormB05.jpg,alive
wormB06.jpg,alive
wormB07.jpg,alive
wormB08.jpg,alive
wormB09.jpg,alive
wormB10.jpg,alive
wormB11.jpg,alive
wormB12.jpg,alive
wormB13.jpg,dead
wormB14.jpg,dead
wormB15.jpg,dead
wormB16.jpg,dead
wormB17.jpg,dead
wormB18.jpg,dead
wormB19.jpg,dead
wormB20.jpg,dead
wormB21.jpg,dead
wormB22.jpg,dead
wormB23.jpg,dead
wormB24.jpg,dead
wormC01.jpg,alive
wormC02.jpg,alive
wormC03.jpg,alive
wormC04.jpg,alive
wormC05.jpg,alive
wormC06.jpg,alive
wormC07.jpg,alive
wormC08.jpg,alive
wormC09.jpg,alive
wormC10.jpg,alive
wormC11.jpg,alive
wormC12.jpg,alive
wormC15.jpg,dead
wormC16.jpg,dead
wormC17.jpg,dead
wormC18.jpg,dead
wormC19.jpg,dead
wormC20.jpg,dead
wormC21.jpg,dead
wormC22.jpg,dead
wormC23.jpg,dead
wormC24.jpg,dead
wormD01.jpg,alive
wormD02.jpg,alive
wormD03.jpg,alive
wormD04.jpg,alive
wormD05.jpg,alive
wormD06.jpg,alive
wormD07.jpg,alive
wormD08.jpg,alive
wormD09.jpg,alive
wormD10.jpg,alive
wormD11.jpg,alive
wormD12.jpg,alive
wormD13.jpg,dead
wormD14.jpg,dead
wormD15.jpg,dead
wormD16.jpg,dead
wormD17.jpg,dead
wormD18.jpg,dead
wormD19.jpg,dead
wormD20.jpg,dead
wormD21.jpg,dead
wormD22.jpg,dead
wormD23.jpg,dead
